[2025-03-20 12:12:18,635] [INFO] Node started: localhost:30032 | index= 33 | f=1, k=4
[2025-03-20 12:12:26,998] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:20:50,010] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:50,011] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:20:50,274] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:50,303] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:50,443] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:50,486] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:50,724] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:20:50,936] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:50,991] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:20:51,002] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:20:51,046] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:20:51,072] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:51,125] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:51,175] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:51,250] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:57,781] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:20:57,785] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:20:57,937] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:57,941] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778152 bit
[2025-03-20 12:20:58,158] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:58,184] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:58,370] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:58,392] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:58,821] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:58,848] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:58,964] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:20:58,977] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:20:59,048] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:59,158] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:20:59,222] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:20:59,257] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:20:59,292] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:05,791] [INFO] Phase: PRE-PREPARE | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6992s | Size: 16781032 bit
[2025-03-20 12:21:05,791] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:  106.59 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:21:05,882] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:21:05,886] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30032 | Distance:   22.51 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:21:06,214] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,227] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,300] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30039 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,350] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:21:06,879] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:06,914] [INFO] Phase: PREPARE | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:21:06,981] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30005 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:21:06,994] [INFO] Phase: PRE-REPLY | Receiver: 30002 | Sender: 30032 | Distance:  140.22 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:21:07,058] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30036 | Distance:  128.16 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:21:07,090] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30025 | Distance:   22.51 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:21:07,218] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30008 | Distance:  140.50 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,270] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30037 | Distance:  106.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:21:07,305] [INFO] Phase: COMMIT | Receiver: 30032 | Sender: 30022 | Distance:  127.76 m | Delay: 0.6991s | Size: 16778992 bit
